n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,n_filters,pre_processing_time,mfcc_time,model_time,microF1,macroF1
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,40,0.83,3.09,29.39,0.32,0.19
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,40,0.83,3.06,191.02,0.95,0.95
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,SVM,40,0.77,1.59,20.04,0.05,0.04
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,SVM,40,0.84,3.51,32.46,0.12,0.04
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,VQ,40,0.77,1.58,142.33,0.95,0.96
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,GMM,40,0.84,3.51,9.18,0.6,0.71
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,40,1.05,19.04,478.02,0.98,0.98
7,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,40,1.1,9.99,21.44,0.91,0.92
7,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,40,1.26,22.23,196.33,0.15,0.04
7,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,40,1.26,22.23,607.8,0.98,0.98
7,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,SVM,40,0.91,1.83,23.81,0.15,0.15
7,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,GMM,40,0.92,1.85,8.14,0.74,0.8
7,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,40,1.07,8.03,77.04,0.28,0.15
7,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,40,0.96,3.57,39.64,0.11,0.03
7,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,40,1.04,7.99,77.95,0.17,0.05
7,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,40,0.98,3.61,37.57,0.15,0.04
7,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,40,1.04,9.92,100.8,0.04,0.07
7,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,VQ,40,0.91,1.83,173.89,1.0,1.0
7,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,40,1.26,22.31,198.77,0.26,0.26
7,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,40,1.04,7.99,368.82,0.98,0.98
7,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,40,1.07,8.04,18.12,0.83,0.85
7,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,40,0.98,3.62,11.65,0.77,0.81
7,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,40,1.0,4.13,260.57,1.0,1.0
7,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,40,1.04,9.92,408.96,0.98,0.98
7,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,40,1.08,9.95,402.81,0.98,0.98
7,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,GMM,40,0.98,4.08,11.75,0.7,0.75
7,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,VQ,40,0.92,1.85,175.79,1.0,1.0
7,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,SVM,40,0.92,1.85,22.72,0.04,0.02
7,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,40,1.07,8.04,362.26,1.0,1.0
7,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,40,1.1,9.99,92.89,0.23,0.19
7,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,SVM,40,1.0,4.13,41.53,0.36,0.3
7,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,40,1.07,8.04,78.48,0.15,0.04
7,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,40,1.28,22.34,211.2,0.13,0.04
7,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,40,1.26,22.23,40.46,0.94,0.94
7,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,40,0.91,1.83,7.82,0.55,0.66
7,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,40,1.04,7.99,17.9,0.85,0.87
7,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,GMM,40,1.01,4.12,12.87,0.68,0.74
7,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,40,1.08,9.95,23.33,0.94,0.94
7,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,40,0.98,3.62,243.4,1.0,1.0
7,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,40,1.1,9.99,403.02,0.98,0.98
7,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,VQ,40,0.93,1.85,173.96,1.0,1.0
7,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,SVM,40,1.01,4.12,44.22,0.17,0.05
7,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,40,0.98,3.62,37.71,0.28,0.14
7,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,40,0.96,3.57,241.64,1.0,1.0
7,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,40,1.28,22.34,609.5,1.0,1.0
7,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,SVM,40,0.93,1.85,22.77,0.26,0.17
7,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,40,0.98,3.61,240.22,1.0,1.0
7,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,40,0.98,4.08,261.12,1.0,1.0
7,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,GMM,40,1.0,4.13,14.63,0.85,0.87
7,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,40,1.26,22.31,604.23,0.98,0.98
7,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,40,1.28,22.34,42.71,0.94,0.94
7,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,40,1.04,9.92,21.84,0.89,0.9
7,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,40,1.07,8.03,363.12,1.0,1.0
7,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,GMM,40,0.93,1.85,8.0,0.57,0.68
7,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,40,1.08,9.95,94.08,0.13,0.1
7,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,40,0.96,3.57,12.1,0.79,0.82
7,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,SVM,40,0.98,4.08,43.75,0.15,0.16
7,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,40,1.07,8.03,19.45,0.89,0.9
7,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,40,0.98,3.61,12.3,0.85,0.87
7,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,40,1.26,22.31,44.6,0.96,0.96
7,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,VQ,40,1.01,4.12,260.81,1.0,1.0
