n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,p,pre_processing_time,mfcc_time,model_time,microF1,macroF1
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,11,0.9,33.05,91.77,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,GMM,7,0.77,12.99,3.55,0.88,0.87
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,4,0.83,9.47,13.55,0.48,0.43
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,8,0.9,21.25,87.02,0.98,0.98
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,8,0.83,15.75,6.64,0.88,0.87
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,GMM,7,0.77,13.0,3.44,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,10,0.93,24.13,18.43,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,9,1.13,38.49,44.91,0.88,0.89
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,7,0.9,18.87,71.32,0.95,0.96
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,7,0.94,23.14,14.29,0.9,0.91
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,11,0.83,20.86,62.1,0.98,0.98
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,6,0.83,12.55,6.19,0.78,0.79
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,GMM,5,0.84,15.72,7.67,0.88,0.87
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,VQ,8,0.83,15.72,48.92,0.88,0.89
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,5,1.04,27.68,43.05,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,6,0.9,20.47,33.38,0.55,0.6
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,10,0.94,24.34,21.71,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,5,0.94,15.4,56.95,0.88,0.89
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,VQ,6,0.77,11.58,27.81,0.9,0.9
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,10,0.83,18.98,6.54,0.95,0.95
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,VQ,6,0.77,11.59,28.12,0.98,0.98
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,8,1.13,35.6,122.73,0.98,0.98
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,11,0.94,26.23,18.05,0.95,0.95
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,4,1.13,25.16,36.56,0.82,0.83
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,SVM,7,0.77,13.0,8.66,0.5,0.48
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,4,0.84,13.58,31.99,0.88,0.87
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,GMM,6,0.77,11.58,3.37,0.75,0.76
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,11,0.9,33.08,17.6,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,7,0.84,20.31,46.6,0.92,0.93
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,12,1.13,46.8,106.94,0.62,0.52
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,12,0.94,27.93,112.9,0.95,0.95
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,5,0.79,9.93,3.62,0.85,0.85
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,11,0.9,33.05,16.11,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,8,1.04,35.49,33.6,0.88,0.89
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,10,0.94,24.34,44.53,0.5,0.52
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,SVM,7,0.84,20.31,18.63,0.57,0.68
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,SVM,10,0.79,17.9,9.56,0.62,0.6
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,VQ,11,0.84,29.83,66.5,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,SVM,12,0.84,32.65,21.0,0.52,0.41
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,11,0.9,27.24,105.51,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,GMM,9,0.84,25.05,6.85,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,12,1.05,46.72,48.59,0.88,0.9
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,11,0.9,27.24,19.16,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,SVM,6,0.77,11.58,8.35,0.52,0.47
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,SVM,5,0.79,9.93,8.07,0.4,0.49
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,6,0.93,16.98,65.69,0.92,0.94
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,GMM,12,0.77,21.17,4.28,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,VQ,12,0.84,32.67,73.01,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,VQ,9,0.77,16.11,37.71,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,10,0.93,24.13,97.54,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,SVM,11,0.84,29.83,20.36,0.62,0.61
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,6,0.94,20.51,12.8,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,12,0.83,22.35,69.21,0.92,0.93
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,10,1.04,41.04,103.57,0.6,0.57
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,6,0.9,20.47,59.3,0.88,0.87
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,6,1.04,30.13,95.27,1.0,1.0
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,8,0.83,15.75,16.52,0.52,0.43
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,5,0.83,11.1,6.95,0.88,0.89
